indicator,type,ioc type,source,first seen,tags
http://129.226.210.78/v3/signin/identifier?dsh=S-134104496%3A1679126413792254&amp%3Bfollowup=https%3A%2F%2Faccounts.google.com%2F%3F&amp%3Bifkv=AWnogHc51vDNHGiukA5AGDt7J51Rncq5mWUR037YaFWwypnshvGUIicGf4vJN4fVR2BX1GcxZiTf&amp%3Bpassive=1209600&amp%3Bxrealip=107.178.238.56&continue=https%3A%2F%2Faccounts.google.com%2F%3F&xrealip=34.198.46.118&flowName=WebLiteSignIn&flowEntry=ServiceLogin&ifkv=AWnogHdeAb8lc262rxpvYcTPv7B-9VVD2tBP0d8nk0EDkq8_vVtpk5w8p1_zwcZkNeHPe_cYKQaRQQ,url,phishing,PhishTank,2023-03-18 00:00:00,banking phishing
http://129.226.210.78/v3/signin/identifier?dsh=S-2096408609%3A1680242427874502&amp%3Bcontinue=https%3A%2F%2Faccounts.google.com%2F%3F&amp%3Bfollowup=https%3A%2F%2Faccounts.google.com%2F%3F&amp%3Bifkv=AQMjQ7QtG_i7Ph7I13sYS6KvEH80q_yLGeBRcCftDiIg712Mt71ou9HzX_X6o2bPbQOePjSE_-8DgA&amp%3Bpassive=1209600&amp%3Bxrealip=107.178.238.56&xrealip=107.21.207.171&flowName=WebLiteSignIn&flowEntry=ServiceLogin&ifkv=AQMjQ7QaKJgHp-qWwwRymoewNs1FI1nDUJoJu9xb47LOKxzs5Z6SbtEhg2-tAjcPutrjC2DbdtTVxA,url,phishing,PhishTank,2023-03-31 00:00:00,banking phishing
http://129.226.210.78/v3/signin/identifier?dsh=S1610983396%3A1679508014164389&amp%3Bcontinue=https%3A%2F%2Faccounts.google.com%2F%3F&amp%3Bfollowup=https%3A%2F%2Faccounts.google.com%2F%3F&amp%3Bifkv=AWnogHcv0rRDDKxOyqD4XCsaPOsGNNisb150B7sqvzHKnm_2QYYbd8_ElZclwnFFEuhYIMuNtEeJ&amp%3Bpassive=1209600&amp%3Bxrealip=107.178.231.233&xrealip=34.198.46.118&flowName=WebLiteSignIn&flowEntry=ServiceLogin&ifkv=AWnogHf7G0-ZINclzC9nDAYq44ISHrkyjIuIubcZ568zRTsp4KPZ3Ef_U1t3UGYkY5tTureTQLOn,url,phishing,PhishTank,2023-03-22 00:00:00,banking phishing
http://129.226.210.78/v3/signin/identifier?dsh=S1611322374:1678991802796887&amp;continue=https://accounts.google.com/?&amp;xrealip=149.56.153.181&amp;followup=https://accounts.google.com/?&amp;xrealip=149.56.153.181&amp;ifkv=AWnogHcmdfPoxxq1ZIWLBL4mRX_ZZTMCKApa5sernyFwhydQS76OA8LQ9DNxhxoDzcbx2RDgHTr0Qw&amp;passive=1209600&amp;xrealip=149.56.153.181&amp;flowName=GlifWebSignIn&amp;flowEntry=ServiceLogin,url,phishing,PhishTank,2023-03-17 00:00:00,banking phishing
http://129.226.210.78/v3/signin/identifier?dsh=S1661315937:1679195954403505&amp;followup=https://accounts.google.com/?&amp;ifkv=AWnogHc51vDNHGiukA5AGDt7J51Rncq5mWUR037YaFWwypnshvGUIicGf4vJN4fVR2BX1GcxZiTf&amp;passive=1209600&amp;xrealip=107.178.238.56&amp;continue=https://accounts.google.com/?&amp;xrealip=185.194.93.13&amp;flowName=WebLiteSignIn&amp;flowEntry=ServiceLogin&amp;ifkv=AWnogHcWIi0ueYorrXTpQMO5VjIN4-koSnY_houuPgu9_RnNeL0XFI3lYHUS3SvpLI_tloEaa43vfA,url,phishing,PhishTank,2023-03-19 00:00:00,banking phishing
http://129.226.210.78/v3/signin/identifier?dsh=S889407910:1679843429919634&amp;continue=https://accounts.google.com/?&amp;followup=https://accounts.google.com/?&amp;ifkv=AWnogHcv0rRDDKxOyqD4XCsaPOsGNNisb150B7sqvzHKnm_2QYYbd8_ElZclwnFFEuhYIMuNtEeJ&amp;passive=1209600&amp;xrealip=107.178.231.233&amp;xrealip=185.194.93.13&amp;flowName=WebLiteSignIn&amp;flowEntry=ServiceLogin&amp;ifkv=AQMjQ7S8im-vOrnLav1De7-Ag5xvhaqhpOrjuCbTVj0Sui1K47M6GTvLAT62grIvLw5hNwyGpUKK2A,url,phishing,PhishTank,2023-03-27 00:00:00,banking phishing
http://213.60.255.191/login,url,phishing,PhishTank,2023-08-11 00:00:00,banking phishing
http://43.134.178.58/InteractiveLogin?continue=https://accounts.google.com/?&amp;followup=https://accounts.google.com/?&amp;passive=1209600&amp;xrealip=107.178.231.253&amp;ifkv=Af_xneGocvOeGOAzk8Y9xzfXyeEjaYSJOIXR1JmdSf_L0oWRZ0kFsiWbuhfSCvKqHYBSUYNT5CMR,url,phishing,PhishTank,2023-06-26 00:00:00,banking phishing
http://43.134.178.58/ServiceLogin?continue=https://accounts.google.com/?&amp;followup=https://accounts.google.com/?&amp;passive=1209600&amp;xrealip=107.178.231.253&amp;xrealip=107.178.231.253,url,phishing,PhishTank,2024-02-01 00:00:00,banking phishing
http://43.134.178.58/v3/signin/identifier?continue=https://accounts.google.com/?&amp;followup=https://accounts.google.com/?&amp;ifkv=AXo7B7VHABPEdLuyVEF_Dp-b7Egrrzy7i8hCsGK7DDif0LHRnd52lFMawoJx1_yAwuWk0Oee4-gJ&amp;passive=1209600&amp;xrealip=107.178.231.253&amp;flowName=GlifWebSignIn&amp;flowEntry=ServiceLogin&amp;dsh=S1762332630:1693848409190398&amp;theme=glif,url,phishing,PhishTank,2023-09-05 00:00:00,banking phishing
