group,error
8base,404 Client Error: NOT FOUND for url: https://api-pro.ransomware.live/iocs/8base
abyss,404 Client Error: NOT FOUND for url: https://api-pro.ransomware.live/iocs/abyss
alphalocker,404 Client Error: NOT FOUND for url: https://api-pro.ransomware.live/iocs/alphalocker
alphv,404 Client Error: NOT FOUND for url: https://api-pro.ransomware.live/iocs/alphv
apos,404 Client Error: NOT FOUND for url: https://api-pro.ransomware.live/iocs/apos
apt73,404 Client Error: NOT FOUND for url: https://api-pro.ransomware.live/iocs/apt73
arcusmedia,404 Client Error: NOT FOUND for url: https://api-pro.ransomware.live/iocs/arcusmedia
atomsilo,404 Client Error: NOT FOUND for url: https://api-pro.ransomware.live/iocs/atomsilo
avaddon,404 Client Error: NOT FOUND for url: https://api-pro.ransomware.live/iocs/avaddon
babuk2,404 Client Error: NOT FOUND for url: https://api-pro.ransomware.live/iocs/babuk2
blackbasta,404 Client Error: NOT FOUND for url: https://api-pro.ransomware.live/iocs/blackbasta
blackbyte,404 Client Error: NOT FOUND for url: https://api-pro.ransomware.live/iocs/blackbyte
blogxx,404 Client Error: NOT FOUND for url: https://api-pro.ransomware.live/iocs/blogxx
cicada3301,404 Client Error: NOT FOUND for url: https://api-pro.ransomware.live/iocs/cicada3301
clop,404 Client Error: NOT FOUND for url: https://api-pro.ransomware.live/iocs/clop
coinbasecartel,404 Client Error: NOT FOUND for url: https://api-pro.ransomware.live/iocs/coinbasecartel
conti,404 Client Error: NOT FOUND for url: https://api-pro.ransomware.live/iocs/conti
cuba,404 Client Error: NOT FOUND for url: https://api-pro.ransomware.live/iocs/cuba
daixin,404 Client Error: NOT FOUND for url: https://api-pro.ransomware.live/iocs/daixin
dAn0n,404 Client Error: NOT FOUND for url: https://api-pro.ransomware.live/iocs/dAn0n
darkside,404 Client Error: NOT FOUND for url: https://api-pro.ransomware.live/iocs/darkside
darkvault,404 Client Error: NOT FOUND for url: https://api-pro.ransomware.live/iocs/darkvault
direwolf,404 Client Error: NOT FOUND for url: https://api-pro.ransomware.live/iocs/direwolf
dispossessor,404 Client Error: NOT FOUND for url: https://api-pro.ransomware.live/iocs/dispossessor
dragonransomware,404 Client Error: NOT FOUND for url: https://api-pro.ransomware.live/iocs/dragonransomware
egregor,404 Client Error: NOT FOUND for url: https://api-pro.ransomware.live/iocs/egregor
ElDorado,404 Client Error: NOT FOUND for url: https://api-pro.ransomware.live/iocs/ElDorado
embargo,404 Client Error: NOT FOUND for url: https://api-pro.ransomware.live/iocs/embargo
everest,404 Client Error: NOT FOUND for url: https://api-pro.ransomware.live/iocs/everest
flocker,404 Client Error: NOT FOUND for url: https://api-pro.ransomware.live/iocs/flocker
funksec,404 Client Error: NOT FOUND for url: https://api-pro.ransomware.live/iocs/funksec
genesis,404 Client Error: NOT FOUND for url: https://api-pro.ransomware.live/iocs/genesis
handala,404 Client Error: NOT FOUND for url: https://api-pro.ransomware.live/iocs/handala
hellcat,404 Client Error: NOT FOUND for url: https://api-pro.ransomware.live/iocs/hellcat
helldown,404 Client Error: NOT FOUND for url: https://api-pro.ransomware.live/iocs/helldown
hive,404 Client Error: NOT FOUND for url: https://api-pro.ransomware.live/iocs/hive
hunters,404 Client Error: NOT FOUND for url: https://api-pro.ransomware.live/iocs/hunters
IMNCrew,404 Client Error: NOT FOUND for url: https://api-pro.ransomware.live/iocs/IMNCrew
incransom,404 Client Error: NOT FOUND for url: https://api-pro.ransomware.live/iocs/incransom
