group,indicator,ioc_type,first_seen,last_seen,source,description,raw_record,ttps
AiLock,3c7c91cd4dc336db8082e07ab7549556f05d80acbc778afc2dade67c02002f69,sha256,,,ransomware.live,,"{""group"": ""AiLock"", ""indicator"": ""3c7c91cd4dc336db8082e07ab7549556f05d80acbc778afc2dade67c02002f69"", ""ioc_type"": ""sha256""}",
AiLock,2a728d98ae8280efeaa674783181f3fa,md5,,,ransomware.live,,"{""group"": ""AiLock"", ""indicator"": ""2a728d98ae8280efeaa674783181f3fa"", ""ioc_type"": ""md5""}",
akira,78d75669390e4177597faf9271ce3ad3a16a3652e145913dbfa9a5951972fcb0,sha256,,,ransomware.live,,"{""group"": ""akira"", ""indicator"": ""78d75669390e4177597faf9271ce3ad3a16a3652e145913dbfa9a5951972fcb0"", ""ioc_type"": ""sha256""}",T1003.001; T1018; T1021.001; T1047; T1059; T1059.001; T1059.002; T1059.003; T1078.002; T1082; T1112; T1136.001; T1136.002; T1486; T1490; T1560.001; T1562.001; T1570; TA0004; TA0007
akira,2c7aeac07ce7f03b74952e0e243bd52f2bfa60fadc92dd71a6a1fee2d14cdd77,sha256,,,ransomware.live,,"{""group"": ""akira"", ""indicator"": ""2c7aeac07ce7f03b74952e0e243bd52f2bfa60fadc92dd71a6a1fee2d14cdd77"", ""ioc_type"": ""sha256""}",T1003.001; T1018; T1021.001; T1047; T1059; T1059.001; T1059.002; T1059.003; T1078.002; T1082; T1112; T1136.001; T1136.002; T1486; T1490; T1560.001; T1562.001; T1570; TA0004; TA0007
akira,88da2b1cee373d5f11949c1ade22af0badf16591a871978a9e02f70480e547b2,sha256,,,ransomware.live,,"{""group"": ""akira"", ""indicator"": ""88da2b1cee373d5f11949c1ade22af0badf16591a871978a9e02f70480e547b2"", ""ioc_type"": ""sha256""}",T1003.001; T1018; T1021.001; T1047; T1059; T1059.001; T1059.002; T1059.003; T1078.002; T1082; T1112; T1136.001; T1136.002; T1486; T1490; T1560.001; T1562.001; T1570; TA0004; TA0007
akira,566ef5484da0a93c87dd0cb0a950a7cff4ab013175289cd5fccf9dd7ea430739,sha256,,,ransomware.live,,"{""group"": ""akira"", ""indicator"": ""566ef5484da0a93c87dd0cb0a950a7cff4ab013175289cd5fccf9dd7ea430739"", ""ioc_type"": ""sha256""}",T1003.001; T1018; T1021.001; T1047; T1059; T1059.001; T1059.002; T1059.003; T1078.002; T1082; T1112; T1136.001; T1136.002; T1486; T1490; T1560.001; T1562.001; T1570; TA0004; TA0007
akira,ccda8247360a85b6c076527e438a995757b6cdf5530f38e125915d31291c00d5,sha256,,,ransomware.live,,"{""group"": ""akira"", ""indicator"": ""ccda8247360a85b6c076527e438a995757b6cdf5530f38e125915d31291c00d5"", ""ioc_type"": ""sha256""}",T1003.001; T1018; T1021.001; T1047; T1059; T1059.001; T1059.002; T1059.003; T1078.002; T1082; T1112; T1136.001; T1136.002; T1486; T1490; T1560.001; T1562.001; T1570; TA0004; TA0007
akira,87b4020bcd3fad1f5711e6801ca269ef5852256eeaf350f4dde2dc46c576262d,sha256,,,ransomware.live,,"{""group"": ""akira"", ""indicator"": ""87b4020bcd3fad1f5711e6801ca269ef5852256eeaf350f4dde2dc46c576262d"", ""ioc_type"": ""sha256""}",T1003.001; T1018; T1021.001; T1047; T1059; T1059.001; T1059.002; T1059.003; T1078.002; T1082; T1112; T1136.001; T1136.002; T1486; T1490; T1560.001; T1562.001; T1570; TA0004; TA0007
akira,988776358d0e45a4907dc1f4906a916f1b3595a31fa44d8e04e563a32557eb42,sha256,,,ransomware.live,,"{""group"": ""akira"", ""indicator"": ""988776358d0e45a4907dc1f4906a916f1b3595a31fa44d8e04e563a32557eb42"", ""ioc_type"": ""sha256""}",T1003.001; T1018; T1021.001; T1047; T1059; T1059.001; T1059.002; T1059.003; T1078.002; T1082; T1112; T1136.001; T1136.002; T1486; T1490; T1560.001; T1562.001; T1570; TA0004; TA0007
akira,3805f299d33ef43d17a5a1040149f0e5e2d5db57ec6f03c5687ac23db1f77a30,sha256,,,ransomware.live,,"{""group"": ""akira"", ""indicator"": ""3805f299d33ef43d17a5a1040149f0e5e2d5db57ec6f03c5687ac23db1f77a30"", ""ioc_type"": ""sha256""}",T1003.001; T1018; T1021.001; T1047; T1059; T1059.001; T1059.002; T1059.003; T1078.002; T1082; T1112; T1136.001; T1136.002; T1486; T1490; T1560.001; T1562.001; T1570; TA0004; TA0007
akira,abba655df92e99a15ddcde1d196ff4393a13dbff293e45f5375a2f61c84a2c7b,sha256,,,ransomware.live,,"{""group"": ""akira"", ""indicator"": ""abba655df92e99a15ddcde1d196ff4393a13dbff293e45f5375a2f61c84a2c7b"", ""ioc_type"": ""sha256""}",T1003.001; T1018; T1021.001; T1047; T1059; T1059.001; T1059.002; T1059.003; T1078.002; T1082; T1112; T1136.001; T1136.002; T1486; T1490; T1560.001; T1562.001; T1570; TA0004; TA0007
akira,a546ef13e8a71a8b5f0803075382eb0311d0d8dbae3f08bac0b2f4250af8add0,sha256,,,ransomware.live,,"{""group"": ""akira"", ""indicator"": ""a546ef13e8a71a8b5f0803075382eb0311d0d8dbae3f08bac0b2f4250af8add0"", ""ioc_type"": ""sha256""}",T1003.001; T1018; T1021.001; T1047; T1059; T1059.001; T1059.002; T1059.003; T1078.002; T1082; T1112; T1136.001; T1136.002; T1486; T1490; T1560.001; T1562.001; T1570; TA0004; TA0007
