victim_name,group,sector,requested_sector,country,attack_date,discovered,website,source_url,description,raw_record
USE Federal Credit Union,qilin,Financial,Financial,US,2024-11-09 00:00:00.000000,2025-01-18 12:09:29.351079,usecreditunion.org,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/view?uuid=44abff8c-2d52-3287-90d6-79fc8cd99b65,"All data of this company will be available for download on 24.01.2025. At USE Federal Credit Union, no two members are the same. Blue or white collar, younger or wiser, they all have one thing in common — they hustle for every dollar they e            ...","{""activity"": ""Financial"", ""attackdate"": ""2024-11-09 00:00:00.000000"", ""country"": ""US"", ""description"": ""All data of this company will be available for download on 24.01.2025. At USE Federal Credit Union, no two members are the same. Blue or white collar, younger or wiser, they all have one thing in common — they hustle for every dollar they e            ..."", ""discovered"": ""2025-01-18 12:09:29.351079"", ""group"": ""qilin"", ""id"": ""VVNFIEZlZGVyYWwgQ3JlZGl0IFVuaW9uQHFpbGlu"", ""infostealer"": """", ""modifications"": [{""date"": ""2025-02-27 12:09:30.209685"", ""description"": ""Update published""}], ""permalink"": ""https://www.ransomware.live/id/VVNFIEZlZGVyYWwgQ3JlZGl0IFVuaW9uQHFpbGlu"", ""post_url"": ""http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/view?uuid=44abff8c-2d52-3287-90d6-79fc8cd99b65"", ""press"": null, ""screenshot"": ""https://images.ransomware.live/victims/cf88f0dcb957100062c2a117a1ce47db.png"", ""victim"": ""USE Federal Credit Union"", ""website"": ""usecreditunion.org""}"
realtaxcanada.com,kairos,Financial,Financial,CA,2025-01-17 09:59:54.930661,2025-01-17 09:59:54.930661,realtaxcanada.com,http://nerqnacjmdy3obvevyol7qhazkwkv57dwqvye5v46k5bcujtfa6sduad.onion/detail?code=realtaxcanada-com-canada,Canada - Real Tax,"{""activity"": ""Financial"", ""attackdate"": ""2025-01-17 09:59:54.930661"", ""country"": ""CA"", ""description"": ""Canada - Real Tax"", ""discovered"": ""2025-01-17 09:59:54.930661"", ""group"": ""kairos"", ""id"": ""cmVhbHRheGNhbmFkYS5jb21Aa2Fpcm9z"", ""infostealer"": {""employees"": 0, ""employees_url"": 0, ""thirdparties"": 0, ""thirdparties_domain"": 0, ""update"": ""2025-02-03 09:58:04"", ""users"": 2, ""users_url"": 1}, ""permalink"": ""https://www.ransomware.live/id/cmVhbHRheGNhbmFkYS5jb21Aa2Fpcm9z"", ""post_url"": ""http://nerqnacjmdy3obvevyol7qhazkwkv57dwqvye5v46k5bcujtfa6sduad.onion/detail?code=realtaxcanada-com-canada"", ""press"": null, ""screenshot"": ""https://images.ransomware.live/victims/4f15d3705dad8eb0c66d1a1bcb98642c.png"", ""victim"": ""realtaxcanada.com"", ""website"": ""realtaxcanada.com""}"
Access Capital Partners SA,lynx,Financial,Financial,FR,2025-01-16 02:29:52.039659,2025-01-16 02:30:58.295474,access-capital-partners.com,http://lynxblog.net/leaks/6787acfb05a779c3d3dac945,"Today we have for you a special case on our website, some may call an ""Anomaly"". Today's ""hero"" is non other then Access Capital Partners SA - an independent private assets manager investing in the key economies of Western Europe which is mostly owned by its own management. After analyzing their financial operations we have identified many interesting facts about their investment strategies in the EU. Many interesting names have popped up such as high ranking politicians, members of the royal family, high ranking officials on financial institutions and current representatives of the EU commissions of the financial markets. On one hand there is nothing our of the ordinary here, but after more delicate search we can see facts showing the ""Washing"" their own investments, deceptive funds in different residences so as not to show their true earnings. When our colleagues made contact with the representatives of said company, they pretended that they understand the seriousness of the situation and that they are ready to cooperate and come to a solution without the knowledge of the normal folk. But they were only fishing for information, trying to figure out how compromised they are. As for us this is just business, we were truthfully trying to consult all the interested parties, but one of the parties was trying to prolong the dialogue whilst trying to insure themselves on the information that was leaked. Furthermore people that are creating the regulatory laws and penalties for the leaked information for all the companies, decided that this situation is not a threat to them or as they word for word said ""We do not care, nothing will happen to us"". It is very interesting how regulators of the world regulate their own companies.","{""activity"": ""Financial"", ""attackdate"": ""2025-01-16 02:29:52.039659"", ""country"": ""FR"", ""description"": ""Today we have for you a special case on our website, some may call an \""Anomaly\"". Today's \""hero\"" is non other then Access Capital Partners SA - an independent private assets manager investing in the key economies of Western Europe which is mostly owned by its own management. After analyzing their financial operations we have identified many interesting facts about their investment strategies in the EU. Many interesting names have popped up such as high ranking politicians, members of the royal family, high ranking officials on financial institutions and current representatives of the EU commissions of the financial markets. On one hand there is nothing our of the ordinary here, but after more delicate search we can see facts showing the \""Washing\"" their own investments, deceptive funds in different residences so as not to show their true earnings. When our colleagues made contact with the representatives of said company, they pretended that they understand the seriousness of the situation and that they are ready to cooperate and come to a solution without the knowledge of the normal folk. But they were only fishing for information, trying to figure out how compromised they are. As for us this is just business, we were truthfully trying to consult all the interested parties, but one of the parties was trying to prolong the dialogue whilst trying to insure themselves on the information that was leaked. Furthermore people that are creating the regulatory laws and penalties for the leaked information for all the companies, decided that this situation is not a threat to them or as they word for word said \""We do not care, nothing will happen to us\"". It is very interesting how regulators of the world regulate their own companies.\r"", ""discovered"": ""2025-01-16 02:30:58.295474"", ""group"": ""lynx"", ""id"": ""QWNjZXNzIENhcGl0YWwgUGFydG5lcnMgU0FAbHlueA=="", ""infostealer"": """", ""permalink"": ""https://www.ransomware.live/id/QWNjZXNzIENhcGl0YWwgUGFydG5lcnMgU0FAbHlueA=="", ""post_url"": ""http://lynxblog.net/leaks/6787acfb05a779c3d3dac945"", ""press"": null, ""screenshot"": ""https://images.ransomware.live/victims/f6d642e8235863390baffb99aacbad4c.png"", ""victim"": ""Access Capital Partners SA"", ""website"": ""access-capital-partners.com""}"
linxe.com,funksec,Financial,Financial,ES,2025-01-13 12:28:46.208485,2025-01-13 12:28:46.208485,linxe.com,http://funknqn44slwmgwgnewne6bintbooauwkaupik4yrlgtycew3ergraid.onion/sell27.html,"[AI generated] Linxe.com is an innovative platform that provides financial solutions aimed at consumers and businesses. They specialize in digital lending, offering quick and simple loans to meet the needs of their clientele. Their mission is to improve the financial well-being of their customers by providing easy to understand and use financial services, especially in areas where traditional banking services are not accessible.","{""activity"": ""Financial"", ""attackdate"": ""2025-01-13 12:28:46.208485"", ""country"": ""ES"", ""description"": ""[AI generated] Linxe.com is an innovative platform that provides financial solutions aimed at consumers and businesses. They specialize in digital lending, offering quick and simple loans to meet the needs of their clientele. Their mission is to improve the financial well-being of their customers by providing easy to understand and use financial services, especially in areas where traditional banking services are not accessible."", ""discovered"": ""2025-01-13 12:28:46.208485"", ""group"": ""funksec"", ""id"": ""bGlueGUuY29tQGZ1bmtzZWM="", ""infostealer"": """", ""permalink"": ""https://www.ransomware.live/id/bGlueGUuY29tQGZ1bmtzZWM="", ""post_url"": ""http://funknqn44slwmgwgnewne6bintbooauwkaupik4yrlgtycew3ergraid.onion/sell27.html"", ""press"": null, ""screenshot"": ""https://images.ransomware.live/victims/130582db7732c4e927d18bb7f3ac3f1b.png"", ""victim"": ""linxe.com"", ""website"": ""linxe.com""}"
migonline.com,blackbasta,Financial,Financial,US,2025-01-11 11:23:24.949208,2025-01-11 11:23:24.949208,migonline.com,http://stniiomyjliimcgkvdszvgen3eaaoz55hreqqx6o77yvmpwt7gklffqd.onion/?id=migonline.com,"Mortgage Investors Group (MIG) is a prominent mortgage lender based in the Southeast United States, specifically established in 1989 in Knoxville, Tennessee. The company specializes in providing a variety of home financing solutions, including conventional and government-backed loans, aimed at making homeownership accessible and enjoyable for its clients.SITE: www.migonline.comADDRESS:
8320 E Walker Springs Ln Ste 200
Knoxville, Tennessee, 37923
United StatesTEL#: (865) 691-7714ALL DATA SIZE: ≈1.5tb+
1. Financial data, Accounting
2. Contracts, Loans data
3. Home folders, Personal employees and clients documents
4. Personal clients(customers) data and documents
5. Personal forms
6. Confidential data
& etc…","{""activity"": ""Financial"", ""attackdate"": ""2025-01-11 11:23:24.949208"", ""country"": ""US"", ""description"": ""Mortgage Investors Group (MIG) is a prominent mortgage lender based in the Southeast United States, specifically established in 1989 in Knoxville, Tennessee. The company specializes in providing a variety of home financing solutions, including conventional and government-backed loans, aimed at making homeownership accessible and enjoyable for its clients.SITE: www.migonline.comADDRESS:\n8320 E Walker Springs Ln Ste 200\nKnoxville, Tennessee, 37923\nUnited StatesTEL#: (865) 691-7714ALL DATA SIZE: ≈1.5tb+\n1. Financial data, Accounting\n2. Contracts, Loans data\n3. Home folders, Personal employees and clients documents\n4. Personal clients(customers) data and documents\n5. Personal forms\n6. Confidential data\n& etc…"", ""discovered"": ""2025-01-11 11:23:24.949208"", ""group"": ""blackbasta"", ""id"": ""bWlnb25saW5lLmNvbUBibGFja2Jhc3Rh"", ""infostealer"": {""employees"": 0, ""employees_url"": 0, ""thirdparties"": 0, ""thirdparties_domain"": 0, ""update"": ""2025-01-11 11:21:24"", ""users"": 1, ""users_url"": 1}, ""permalink"": ""https://www.ransomware.live/id/bWlnb25saW5lLmNvbUBibGFja2Jhc3Rh"", ""post_url"": ""http://stniiomyjliimcgkvdszvgen3eaaoz55hreqqx6o77yvmpwt7gklffqd.onion/?id=migonline.com"", ""press"": ""https://therecord.media/tennessee-mortgage-lender-confirms-cyberattack"", ""screenshot"": ""https://images.ransomware.live/victims/b76db503f376edda379f309347b280dd.png"", ""victim"": ""migonline.com"", ""website"": ""migonline.com""}"
alansarioman.com,embargo,Financial,Financial,OM,2025-01-09 15:20:30.076116,2025-01-09 15:21:40.192503,alansarioman.com,http://embargobe3n5okxyzqphpmk3moinoap2snz5k6765mvtkk7hhi544jid.onion/#/post/44,"Al Ansari is a provider of integrated building, infrastructure and engineering solutions. The group was established in 1975 in response to the growing needs of the infrastructure and construction developments in Oman. Over the years, the group has earned a reputation of delivering high quality service in a timely manner. Al Ansari has undertaken many vital construction projects that have contributed to the development of the local infrastructure. Al Ansari is registered as an""Excellent Grade"" company with the Tender Board of Oman & is also certified by the Quality Management Standard ISO 9001:2008. With a work force of over 4,000, the group strongly believes in investing into HRD (Human Resource Development) initiatives to enhance individual's skill and competencies and produce ""Extraordinary"" human capital.  - Around 1 TB of critical and confidential data were downloaded from the Al Ansari Oman company's network","{""activity"": ""Financial"", ""attackdate"": ""2025-01-09 15:20:30.076116"", ""country"": ""OM"", ""description"": ""Al Ansari is a provider of integrated building, infrastructure and engineering solutions. The group was established in 1975 in response to the growing needs of the infrastructure and construction developments in Oman. Over the years, the group has earned a reputation of delivering high quality service in a timely manner. Al Ansari has undertaken many vital construction projects that have contributed to the development of the local infrastructure. Al Ansari is registered as an\""Excellent Grade\"" company with the Tender Board of Oman & is also certified by the Quality Management Standard ISO 9001:2008. With a work force of over 4,000, the group strongly believes in investing into HRD (Human Resource Development) initiatives to enhance individual's skill and competencies and produce \""Extraordinary\"" human capital.  - Around 1 TB of critical and confidential data were downloaded from the Al Ansari Oman company's network"", ""discovered"": ""2025-01-09 15:21:40.192503"", ""group"": ""embargo"", ""id"": ""YWxhbnNhcmlvbWFuLmNvbUBlbWJhcmdv"", ""infostealer"": {""employees"": 3, ""employees_url"": 3, ""thirdparties"": 3, ""thirdparties_domain"": 23, ""update"": ""2025-01-09 15:19:32"", ""users"": 1, ""users_url"": 4}, ""permalink"": ""https://www.ransomware.live/id/YWxhbnNhcmlvbWFuLmNvbUBlbWJhcmdv"", ""post_url"": ""http://embargobe3n5okxyzqphpmk3moinoap2snz5k6765mvtkk7hhi544jid.onion/#/post/44"", ""press"": null, ""screenshot"": ""https://images.ransomware.live/victims/bb8dbae865bb45e08e9cda3ab974948b.png"", ""victim"": ""alansarioman.com"", ""website"": ""alansarioman.com""}"
maxvaluecredits.com,qilin,Financial,Financial,CA,2024-10-05 00:00:00.000000,2025-01-04 09:29:44.557092,maxvaluecredits.com,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/view?uuid=3ac37c96-e3a1-37ee-944d-7ac71755366d,All data of this company will be available for download on 15.01.2025. MAXVALUE Credits & Investments Ltd. is an innovative venture providing high quality financial services to the common man. The team behind this venture draws from various w            ...,"{""activity"": ""Financial"", ""attackdate"": ""2024-10-05 00:00:00.000000"", ""country"": ""CA"", ""description"": ""All data of this company will be available for download on 15.01.2025. MAXVALUE Credits & Investments Ltd. is an innovative venture providing high quality financial services to the common man. The team behind this venture draws from various w            ..."", ""discovered"": ""2025-01-04 09:29:44.557092"", ""group"": ""qilin"", ""id"": ""bWF4dmFsdWVjcmVkaXRzLmNvbUBxaWxpbg=="", ""infostealer"": {""employees"": 1, ""employees_url"": 1, ""infostealer_stats"": {""DarkCrystal"": 6, ""Generic Stealer"": 42, ""Lumma"": 100, ""Mystic"": 2, ""Raccoon"": 40, ""RedLine"": 212, ""StealC"": 22, ""UNKNOWN"": 2, ""Vidar"": 12}, ""thirdparties"": 1, ""thirdparties_domain"": 1, ""update"": ""2025-01-04 19:13:19"", ""users"": 1, ""users_url"": 0}, ""modifications"": [{""date"": ""2025-02-27 12:09:30.275437"", ""description"": ""Update published""}], ""permalink"": ""https://www.ransomware.live/id/bWF4dmFsdWVjcmVkaXRzLmNvbUBxaWxpbg=="", ""post_url"": ""http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/view?uuid=3ac37c96-e3a1-37ee-944d-7ac71755366d"", ""press"": null, ""screenshot"": ""https://images.ransomware.live/victims/e19bec428085abb48027438563840db8.png"", ""victim"": ""maxvaluecredits.com"", ""website"": ""maxvaluecredits.com""}"
banksulutgo,funksec,Financial,Financial,ID,2024-12-31 09:11:51.897518,2024-12-31 09:11:54.275046,,http://7ixfdvqb4eaju5lzj4gg76kwlrxg4ugqpuog5oqkkmgfyn33h527oyyd.onion/sell34.html,"[AI generated] Bank SulutGo is a regional development bank in Indonesia, serving the North Sulawesi and Gorontalo provinces. It focuses on providing financial services such as savings, loans, and investment products tailored to the local community. The bank aims to support regional economic growth by financing small and medium enterprises and infrastructure projects, while also offering personal banking services.","{""activity"": ""Financial"", ""attackdate"": ""2024-12-31 09:11:51.897518"", ""country"": ""ID"", ""description"": ""[AI generated] Bank SulutGo is a regional development bank in Indonesia, serving the North Sulawesi and Gorontalo provinces. It focuses on providing financial services such as savings, loans, and investment products tailored to the local community. The bank aims to support regional economic growth by financing small and medium enterprises and infrastructure projects, while also offering personal banking services."", ""discovered"": ""2024-12-31 09:11:54.275046"", ""group"": ""funksec"", ""id"": ""YmFua3N1bHV0Z29AZnVua3NlYw=="", ""infostealer"": """", ""permalink"": ""https://www.ransomware.live/id/YmFua3N1bHV0Z29AZnVua3NlYw=="", ""post_url"": ""http://7ixfdvqb4eaju5lzj4gg76kwlrxg4ugqpuog5oqkkmgfyn33h527oyyd.onion/sell34.html"", ""press"": null, ""screenshot"": """", ""victim"": ""banksulutgo"", ""website"": """"}"
www.metlife.com,ransomhub,Financial,Financial,US,2024-12-30 08:03:46.000000,2024-12-31 07:15:40.754811,metlife.com,http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/47754ccf-3e5c-4d92-97b9-e9ffb4133e59/,"[AI generated] MetLife is a leading global provider of insurance, annuities, and employee benefit programs. Established in 1868, it offers life, dental, disability, and accident insurance to individuals and groups. Headquartered in New York City, MetLife operates in over 40 countries, serving millions of customers. It focuses on delivering innovative solutions to help clients manage risks and secure their financial futures.","{""activity"": ""Financial"", ""attackdate"": ""2024-12-30 08:03:46.000000"", ""country"": ""US"", ""description"": ""[AI generated] MetLife is a leading global provider of insurance, annuities, and employee benefit programs. Established in 1868, it offers life, dental, disability, and accident insurance to individuals and groups. Headquartered in New York City, MetLife operates in over 40 countries, serving millions of customers. It focuses on delivering innovative solutions to help clients manage risks and secure their financial futures."", ""discovered"": ""2024-12-31 07:15:40.754811"", ""group"": ""ransomhub"", ""id"": ""d3d3Lm1ldGxpZmUuY29tQHJhbnNvbWh1Yg=="", ""infostealer"": {""employees"": 147, ""employees_url"": 47, ""thirdparties"": 81, ""thirdparties_domain"": 85, ""update"": ""2024-12-31 09:48:29"", ""users"": 7396, ""users_url"": 100}, ""permalink"": ""https://www.ransomware.live/id/d3d3Lm1ldGxpZmUuY29tQHJhbnNvbWh1Yg=="", ""post_url"": ""http://ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion/47754ccf-3e5c-4d92-97b9-e9ffb4133e59/"", ""press"": null, ""screenshot"": ""https://images.ransomware.live/victims/4c1057dced9c73a2ac83a3327c8e6a05.png"", ""victim"": ""www.metlife.com"", ""website"": ""metlife.com""}"
Zeifmans,play,Financial,Financial,CA,2024-12-20 00:00:00.000000,2024-12-30 18:16:15.011476,zeifmans.ca,http://k7kg3jqxang3wh7hnmaiokchk7qoebupfgoik6rha6mjpzwupwtj25yd.onion/topic.php?id=cZbWOh7ze4a3Pn,Canada,"{""activity"": ""Financial"", ""attackdate"": ""2024-12-20 00:00:00.000000"", ""country"": ""CA"", ""description"": ""Canada"", ""discovered"": ""2024-12-30 18:16:15.011476"", ""group"": ""play"", ""id"": ""WmVpZm1hbnNAcGxheQ=="", ""infostealer"": {""employees"": 2, ""employees_url"": 1, ""thirdparties"": 3, ""thirdparties_domain"": 5, ""update"": ""2024-12-30 17:50:20"", ""users"": 1, ""users_url"": 0}, ""modifications"": [{""date"": ""2025-03-31 18:12:04.598100"", ""description"": ""Update published""}], ""permalink"": ""https://www.ransomware.live/id/WmVpZm1hbnNAcGxheQ=="", ""post_url"": ""http://k7kg3jqxang3wh7hnmaiokchk7qoebupfgoik6rha6mjpzwupwtj25yd.onion/topic.php?id=cZbWOh7ze4a3Pn"", ""press"": null, ""screenshot"": ""https://images.ransomware.live/victims/2fa56ba807d534711fd4c89a9f22a7c6.png"", ""victim"": ""Zeifmans"", ""website"": ""zeifmans.ca""}"
