indicator,type,IOC type,source,first seen,tags
https://instagraam-login.vercel.app/,url,phishing,PhishTank,31/03/2026,banking phishing
https://bn-credit.eu.cc/home.html,url,phishing,PhishTank,31/03/2026,banking phishing
https://login.wernerwoodworking.com/?_scpr=z3hHHA5aLgwubZmNSJszzCJJ,url,phishing,PhishTank,31/03/2026,banking phishing
https://login.goacrosstravel.com/?_scpr=zCbUTbOHRpCWD3eDjxcREEUt,url,phishing,PhishTank,31/03/2026,banking phishing
https://login.washingtonnewsobserver.com/?_scpr=2gzId9gaVbwwBwIotLra64tM,url,phishing,PhishTank,31/03/2026,banking phishing
https://login.gauway.com/?_scpr=0ThGkc2gI6ydLS9lKu0UeyZ9,url,phishing,PhishTank,31/03/2026,banking phishing
https://login.disinfectionforce.com/?_scpr=IfZkhCbCfNFhzLJfiaHdy01b,url,phishing,PhishTank,31/03/2026,banking phishing
https://login.listofpharmacies.com/?_scpr=8uplMVjsaUsoyLat67pFzDqH,url,phishing,PhishTank,31/03/2026,banking phishing
https://loginunivers4l2026.wasmer.app/,url,phishing,PhishTank,31/03/2026,banking phishing
https://credit-pichincha-flow.lovable.app/,url,phishing,PhishTank,31/03/2026,banking phishing
https://self-service.moontoncs.com/tools/cancelaccount/login,url,phishing,PhishTank,31/03/2026,banking phishing
https://did.li/Bankmizrahi,url,phishing,PhishTank,31/03/2026,banking phishing
https://easybank-kundenservice-mijndomein.co.nl/wp-admin/js/admin/alo,url,phishing,PhishTank,31/03/2026,banking phishing
https://bafybeibl2gixzwyfl2ietqcnlvt7agvvabfrgdubyxbccwsc5tpcace4fa.ipfs.dweb.link/zmail-online-dashboard.html,url,phishing,PhishTank,31/03/2026,banking phishing
https://hu-magyar-mnnbhbank-guxzzpfg.s3.eu-west-2.amazonaws.com/home.html,url,phishing,PhishTank,31/03/2026,banking phishing
https://bouyguestelecom.espace-facture.com/pages/secure.php,url,phishing,PhishTank,31/03/2026,banking phishing
https://spokojnydzien.online/bank_login.php?id=255,url,phishing,PhishTank,31/03/2026,banking phishing
