source,target,relation,weight
group:qilin,victim:USE Federal Credit Union,group_to_victim,1
group:qilin,country:US,group_to_country,1
group:kairos,victim:realtaxcanada.com,group_to_victim,1
group:kairos,country:CA,group_to_country,1
group:lynx,victim:Access Capital Partners SA,group_to_victim,1
group:lynx,country:FR,group_to_country,1
group:funksec,victim:linxe.com,group_to_victim,1
group:funksec,country:ES,group_to_country,1
group:blackbasta,victim:migonline.com,group_to_victim,1
group:blackbasta,country:US,group_to_country,1
group:embargo,victim:alansarioman.com,group_to_victim,1
group:embargo,country:OM,group_to_country,1
group:qilin,victim:maxvaluecredits.com,group_to_victim,1
group:qilin,country:CA,group_to_country,1
group:funksec,victim:banksulutgo,group_to_victim,1
group:funksec,country:ID,group_to_country,1
group:ransomhub,victim:www.metlife.com,group_to_victim,1
group:ransomhub,country:US,group_to_country,1
group:play,victim:Zeifmans,group_to_victim,1
group:play,country:CA,group_to_country,1
group:funksec,victim:equitiesnagain.com,group_to_victim,1
group:funksec,country:US,group_to_country,1
group:safepay,victim:dprinvestments.com,group_to_victim,1
group:safepay,country:AI,group_to_country,1
group:akira,victim:MLP Tax & Financial Services,group_to_victim,1
group:akira,country:US,group_to_country,1
group:hellcat,victim:Car Care Plan - Turkey,group_to_victim,1
group:hellcat,country:TR,group_to_country,1
group:clop,victim:thoms#####,group_to_victim,1
group:clop,country:US,group_to_country,1
group:clop,victim:busin#####,group_to_victim,1
group:clop,victim:sully#####,group_to_victim,1
group:apt73,victim:federalbank.co.in (PART1),group_to_victim,1
group:apt73,country:IN,group_to_country,1
group:akira,victim:Good Neighbors Credit Union,group_to_victim,1
group:akira,country:CA,group_to_country,1
group:ransomhub,victim:www.semfin.com,group_to_victim,1
group:ransomhub,country:CH,group_to_country,1
group:apt73,victim:linebank.co.id,group_to_victim,1
group:apt73,country:ID,group_to_country,1
group:8base,victim:Sicoob,group_to_victim,1
group:8base,country:BR,group_to_country,1
group:kairos,victim:austinsfs.com.au,group_to_victim,1
group:kairos,country:AU,group_to_country,1
group:fog,victim:Energy Capital Credit Union (eccu.net),group_to_victim,1
group:fog,country:US,group_to_country,1
group:apt73,victim:federalbank.co.in,group_to_victim,1
group:hunters,victim:Development Bank of Jamaica,group_to_victim,1
group:hunters,country:JM,group_to_country,1
group:apt73,victim:bri.co.id,group_to_victim,1
group:interlock,victim:Heritage Bank,group_to_victim,1
group:interlock,country:AU,group_to_country,1
