node_id,label,node_type,degree,degree_centrality,component_id
group:qilin,qilin,group,179,0.06986729117876658,1
victim:USE Federal Credit Union,USE Federal Credit Union,victim,1,0.00039032006245121,1
country:US,US,country,86,0.03356752537080406,1
group:kairos,kairos,group,9,0.00351288056206089,1
victim:realtaxcanada.com,realtaxcanada.com,victim,2,0.00078064012490242,1
country:CA,CA,country,26,0.01014832162373146,1
group:lynx,lynx,group,46,0.01795472287275566,1
victim:Access Capital Partners SA,Access Capital Partners SA,victim,1,0.00039032006245121,1
country:FR,FR,country,9,0.00351288056206089,1
group:funksec,funksec,group,19,0.00741608118657299,1
victim:linxe.com,linxe.com,victim,1,0.00039032006245121,1
country:ES,ES,country,6,0.00234192037470726,1
group:blackbasta,blackbasta,group,10,0.0039032006245121,1
victim:migonline.com,migonline.com,victim,1,0.00039032006245121,1
group:embargo,embargo,group,7,0.00273224043715847,1
victim:alansarioman.com,alansarioman.com,victim,1,0.00039032006245121,1
country:OM,OM,country,2,0.00078064012490242,1
victim:maxvaluecredits.com,maxvaluecredits.com,victim,1,0.00039032006245121,1
victim:banksulutgo,banksulutgo,victim,1,0.00039032006245121,1
country:ID,ID,country,13,0.00507416081186573,1
group:ransomhub,ransomhub,group,52,0.02029664324746292,1
victim:www.metlife.com,www.metlife.com,victim,1,0.00039032006245121,1
group:play,play,group,37,0.01444184231069477,1
victim:Zeifmans,Zeifmans,victim,1,0.00039032006245121,1
victim:equitiesnagain.com,equitiesnagain.com,victim,1,0.00039032006245121,1
group:safepay,safepay,group,22,0.00858704137392662,1
victim:dprinvestments.com,dprinvestments.com,victim,1,0.00039032006245121,1
country:AI,AI,country,1,0.00039032006245121,1
group:akira,akira,group,460,0.1795472287275566,1
victim:MLP Tax & Financial Services,MLP Tax & Financial Services,victim,1,0.00039032006245121,1
group:hellcat,hellcat,group,4,0.00156128024980484,1
victim:Car Care Plan - Turkey,Car Care Plan - Turkey,victim,1,0.00039032006245121,1
country:TR,TR,country,2,0.00078064012490242,1
group:clop,clop,group,26,0.01014832162373146,1
victim:thoms#####,thoms#####,victim,1,0.00039032006245121,1
victim:busin#####,busin#####,victim,1,0.00039032006245121,1
victim:sully#####,sully#####,victim,1,0.00039032006245121,1
group:apt73,apt73,group,26,0.01014832162373146,1
victim:federalbank.co.in (PART1),federalbank.co.in (PART1),victim,1,0.00039032006245121,1
country:IN,IN,country,13,0.00507416081186573,1
victim:Good Neighbors Credit Union,Good Neighbors Credit Union,victim,1,0.00039032006245121,1
victim:www.semfin.com,www.semfin.com,victim,1,0.00039032006245121,1
country:CH,CH,country,7,0.00273224043715847,1
victim:linebank.co.id,linebank.co.id,victim,1,0.00039032006245121,1
group:8base,8base,group,9,0.00351288056206089,1
victim:Sicoob,Sicoob,victim,1,0.00039032006245121,1
country:BR,BR,country,5,0.00195160031225605,1
victim:austinsfs.com.au,austinsfs.com.au,victim,1,0.00039032006245121,1
country:AU,AU,country,14,0.00546448087431694,1
group:fog,fog,group,58,0.02263856362217018,1
victim:Energy Capital Credit Union (eccu.net),Energy Capital Credit Union (eccu.net),victim,1,0.00039032006245121,1
victim:federalbank.co.in,federalbank.co.in,victim,1,0.00039032006245121,1
group:hunters,hunters,group,25,0.00975800156128025,1
victim:Development Bank of Jamaica,Development Bank of Jamaica,victim,1,0.00039032006245121,1
country:JM,JM,country,2,0.00078064012490242,1
victim:bri.co.id,bri.co.id,victim,1,0.00039032006245121,1
group:interlock,interlock,group,24,0.00936768149882904,1
victim:Heritage Bank,Heritage Bank,victim,1,0.00039032006245121,1
victim:Great Plains Bank,Great Plains Bank,victim,1,0.00039032006245121,1
group:killsec,killsec,group,45,0.01756440281030445,1
victim:Tumeny Payments Limited,Tumeny Payments Limited,victim,1,0.00039032006245121,1
country:GB,GB,country,32,0.01249024199843872,1
group:dragonransomware,dragonransomware,group,4,0.00156128024980484,1
victim:stleasing.tj,stleasing.tj,victim,1,0.00039032006245121,1
country:TJ,TJ,country,1,0.00039032006245121,1
victim:eosspartners.com,eosspartners.com,victim,1,0.00039032006245121,1
victim:lamundialdeseguros,lamundialdeseguros,victim,1,0.00039032006245121,1
country:CO,CO,country,5,0.00195160031225605,1
victim:bee-insurance.com,bee-insurance.com,victim,2,0.00078064012490242,1
victim:lamundialdeseguros.com,lamundialdeseguros.com,victim,2,0.00078064012490242,1
victim:An independent private assets manager,An independent private assets manager,victim,1,0.00039032006245121,1
victim:Luxor Capital Group,Luxor Capital Group,victim,1,0.00039032006245121,1
group:braincipher,braincipher,group,26,0.01014832162373146,1
"victim:Estar Seguros, S.A.","Estar Seguros, S.A.",victim,1,0.00039032006245121,1
country:MX,MX,country,6,0.00234192037470726,1
victim:dealplexus.com,dealplexus.com,victim,2,0.00078064012490242,1
victim:fpsc-anz.com,fpsc-anz.com,victim,1,0.00039032006245121,1
victim:fpsc-anz.com Breach,fpsc-anz.com Breach,victim,1,0.00039032006245121,1
victim:workers.com.zm,workers.com.zm,victim,1,0.00039032006245121,1
country:ZM,ZM,country,2,0.00078064012490242,1
group:bianlian,bianlian,group,242,0.09445745511319281,1
victim:Global Insurance Agency LLC,Global Insurance Agency LLC,victim,1,0.00039032006245121,1
victim:Conrey Insurance Brokers & Risk Managers,Conrey Insurance Brokers & Risk Managers,victim,1,0.00039032006245121,1
victim:Proyectos y Seguros,Proyectos y Seguros,victim,1,0.00039032006245121,1
victim:Equity & Advisory,Equity & Advisory,victim,1,0.00039032006245121,1
victim:bankily.mr,bankily.mr,victim,1,0.00039032006245121,1
country:MR,MR,country,1,0.00039032006245121,1
victim:ECBM,ECBM,victim,1,0.00039032006245121,1
victim:ktpartners.ca,ktpartners.ca,victim,1,0.00039032006245121,1
victim:NatAlliance Securities,NatAlliance Securities,victim,1,0.00039032006245121,1
victim:azpay.me,azpay.me,victim,1,0.00039032006245121,1
country:AZ,AZ,country,2,0.00078064012490242,1
group:nitrogen,nitrogen,group,12,0.00468384074941452,1
victim:SRP Federal Credit Union,SRP Federal Credit Union,victim,1,0.00039032006245121,1
group:spacebears,spacebears,group,6,0.00234192037470726,1
victim:Aptus Value Housing Finance India Ltd,Aptus Value Housing Finance India Ltd,victim,1,0.00039032006245121,1
victim:www.aliorbank.pl,www.aliorbank.pl,victim,1,0.00039032006245121,1
country:PL,PL,country,2,0.00078064012490242,1
victim:hamptonsecurities.com,hamptonsecurities.com,victim,1,0.00039032006245121,1
victim:westbankcorp.com,westbankcorp.com,victim,1,0.00039032006245121,1
group:handala,handala,group,3,0.00117096018735363,1
victim:Harel Insurance ( Shirbit Server ),Harel Insurance ( Shirbit Server ),victim,1,0.00039032006245121,1
country:IL,IL,country,4,0.00156128024980484,1
group:cloak,cloak,group,9,0.00351288056206089,1
victim:SCAFF'HOLDING,SCAFF'HOLDING,victim,1,0.00039032006245121,1
victim:Bennett Porter Wealth Management Insurance,Bennett Porter Wealth Management Insurance,victim,1,0.00039032006245121,1
victim:First Chatham Bank,First Chatham Bank,victim,1,0.00039032006245121,1
victim:Namforce Life Insurance,Namforce Life Insurance,victim,1,0.00039032006245121,1
country:Unknown,Unknown,country,32,0.01249024199843872,1
victim:Chanas Assurances S.A. (chanasassurances.com),Chanas Assurances S.A. (chanasassurances.com),victim,1,0.00039032006245121,1
country:CM,CM,country,1,0.00039032006245121,1
victim:mcleanmortgage.com,mcleanmortgage.com,victim,1,0.00039032006245121,1
victim:helixbermuda.bm,helixbermuda.bm,victim,1,0.00039032006245121,1
country:BM,BM,country,2,0.00078064012490242,1
victim:wheelerassoc.com,wheelerassoc.com,victim,1,0.00039032006245121,1
victim:facilcreditos.co,facilcreditos.co,victim,1,0.00039032006245121,1
victim:TWRU CPAs & Financial Advisors,TWRU CPAs & Financial Advisors,victim,1,0.00039032006245121,1
victim:empowersettlementservices.com,empowersettlementservices.com,victim,1,0.00039032006245121,1
victim:Calvert Home Mortgage Investment,Calvert Home Mortgage Investment,victim,1,0.00039032006245121,1
victim:www.damcapital.in,www.damcapital.in,victim,1,0.00039032006245121,1
victim:www.ekirkpatrick.com,www.ekirkpatrick.com,victim,1,0.00039032006245121,1
victim:Tampa State Bank,Tampa State Bank,victim,1,0.00039032006245121,1
group:monti,monti,group,5,0.00195160031225605,1
victim:Oxford Auto Insurance,Oxford Auto Insurance,victim,1,0.00039032006245121,1
victim:Premier Tax Services,Premier Tax Services,victim,1,0.00039032006245121,1
victim:rockportmortgage.com,rockportmortgage.com,victim,1,0.00039032006245121,1
victim:Equentis Wealth,Equentis Wealth,victim,1,0.00039032006245121,1
victim:www.depewgillen.com,www.depewgillen.com,victim,1,0.00039032006245121,1
group:eldorado,eldorado,group,8,0.00312256049960968,1
victim:Kennedy Funding,Kennedy Funding,victim,2,0.00078064012490242,1
victim:Aberdeen,Aberdeen,victim,1,0.00039032006245121,1
victim:Bells Tax Service,Bells Tax Service,victim,2,0.00078064012490242,1
victim:Jornstax.com,Jornstax.com,victim,1,0.00039032006245121,1
victim:Buddy Loan,Buddy Loan,victim,1,0.00039032006245121,1
victim:Dragon Capital,Dragon Capital,victim,1,0.00039032006245121,1
country:VN,VN,country,2,0.00078064012490242,1
group:sarcoma,sarcoma,group,13,0.00507416081186573,1
victim:Popular Life Insurance,Popular Life Insurance,victim,1,0.00039032006245121,1
country:BD,BD,country,2,0.00078064012490242,1
victim:formosacpa.com.tw,formosacpa.com.tw,victim,1,0.00039032006245121,1
country:TW,TW,country,3,0.00117096018735363,1
victim:Giggle Finance,Giggle Finance,victim,1,0.00039032006245121,1
victim:Banco de Fomento Internacional,Banco de Fomento Internacional,victim,1,0.00039032006245121,1
country:VE,VE,country,4,0.00156128024980484,1
victim:TaxPros of Clermont,TaxPros of Clermont,victim,1,0.00039032006245121,1
victim:Banco Sucredito Regional S.A.U.,Banco Sucredito Regional S.A.U.,victim,1,0.00039032006245121,1
country:AR,AR,country,6,0.00234192037470726,1
victim:www.assurified.com,www.assurified.com,victim,1,0.00039032006245121,1
country:NL,NL,country,2,0.00078064012490242,1
victim:www.fdc.ie,www.fdc.ie,victim,1,0.00039032006245121,1
country:IE,IE,country,5,0.00195160031225605,1
group:helldown,helldown,group,2,0.00078064012490242,1
victim:compassfs,compassfs,victim,1,0.00039032006245121,1
victim:www.mltmua.com,www.mltmua.com,victim,1,0.00039032006245121,1
victim:Valu-Trac Investment Management,Valu-Trac Investment Management,victim,1,0.00039032006245121,1
group:stormous,stormous,group,5,0.00195160031225605,1
victim:Transak.com,Transak.com,victim,1,0.00039032006245121,1
victim:ConCash,ConCash,victim,1,0.00039032006245121,1
victim:payxpress.co.il,payxpress.co.il,victim,1,0.00039032006245121,1
victim:ValueMax Group,ValueMax Group,victim,1,0.00039032006245121,1
country:SG,SG,country,2,0.00078064012490242,1
victim:Ferrer & Ojeda,Ferrer & Ojeda,victim,1,0.00039032006245121,1
victim:robinhood.com,robinhood.com,victim,1,0.00039032006245121,1
victim:Sandro Forte Financial Support,Sandro Forte Financial Support,victim,1,0.00039032006245121,1
victim:Burgess Kilpatrick,Burgess Kilpatrick,victim,1,0.00039032006245121,1
victim:Trimarc Financial (trimarc.com),Trimarc Financial (trimarc.com),victim,1,0.00039032006245121,1
group:arcusmedia,arcusmedia,group,4,0.00156128024980484,1
victim:Superior Quality Insurance Agency,Superior Quality Insurance Agency,victim,1,0.00039032006245121,1
group:raworld,raworld,group,221,0.0862607338017174,1
victim:PB**ce,PB**ce,victim,1,0.00039032006245121,1
victim:Pheim Unit Trusts Berhad,Pheim Unit Trusts Berhad,victim,1,0.00039032006245121,1
country:MY,MY,country,4,0.00156128024980484,1
group:blacksuit,blacksuit,group,12,0.00468384074941452,1
victim:Neighbors Credit Union,Neighbors Credit Union,victim,1,0.00039032006245121,1
victim:Cathexis Holdings LP,Cathexis Holdings LP,victim,1,0.00039032006245121,1
victim:argofinance.org,argofinance.org,victim,1,0.00039032006245121,1
victim:EasyPay,EasyPay,victim,1,0.00039032006245121,1
